,년,정점,번호,등급
744,2017,부산연안,4,2
745,2017,부산연안,5,2
746,2017,부산연안,6,2
747,2017,부산연안,7,2
748,2017,부산연안,8,1
749,2017,부산연안,9,2
750,2017,부산연안,10,1
751,2017,부산연안,11,1
752,2017,부산연안,12,1
753,2017,부산연안,13,1
754,2017,부산연안,14,2
755,2017,부산연안,15,2
756,2017,부산연안,16,2
757,2017,부산연안,17,2
758,2017,낙동강하구,1,2
759,2017,낙동강하구,2,3
760,2017,낙동강하구,3,2
761,2017,낙동강하구,4,2
762,2017,신항연안,1,4
763,2017,신항연안,2,2
764,2017,행 암 만,1,1
765,2017,행 암 만,2,3
766,2017,행 암 만,3,3
767,2017,행 암 만,4,2
768,2017,마 산 만,1,3
769,2017,마 산 만,2,1
770,2017,마 산 만,3,2
771,2017,마 산 만,4,3
772,2017,마 산 만,5,3
773,2017,마 산 만,6,2
774,2017,마 산 만,7,1
775,2017,마 산 만,8,2
776,2017,마 산 만,9,2
777,2017,마 산 만,10,2
778,2017,마 산 만,11,3
779,2017,마 산 만,12,3
780,2017,마 산 만,13,2
781,2017,마 산 만,14,3
782,2017,마 산 만,15,3
783,2017,진 해 만,1,2
784,2017,진 해 만,2,1
785,2017,광 양 만,1,2
786,2017,광 양 만,2,2
787,2017,광 양 만,3,1
788,2017,광 양 만,4,2
789,2017,광 양 만,5,1
790,2017,광 양 만,6,2
791,2017,광 양 만,7,2
792,2017,광 양 만,8,1
793,2017,광 양 만,9,2
794,2017,광 양 만,10,2
795,2017,광 양 만,11,2
796,2017,광 양 만,12,2
